bcode,scode,bname,pb,convertprice,huishoujia,qiangshujia,expire
113016,601127,小康转债,4.67,23,16.1,29.9,2023/11/6
113015,601012,隆基转债,3.02,32.35,22.64,42.05,2023/11/1
113009,601238,广汽转债,3.73,21.43,15,27.86,2022/1/22
128018,2527,时达转债,2.45,11.9,8.33,15.47,2023/11/6
113014,601222,林洋转债,1.62,8.8,6.16,11.44,2023/10/27
128017,2597,金禾转债,5.03,23.92,16.74,31.1,2023/11/1
110033,600755,国贸转债,0.94,8.81,6.17,11.45,2022/1/5
128014,2753,永东转债,4.02,20.46,14.32,26.6,2023/4/17
110034,600998,九州转债,2.59,18.65,13.05,24.25,2022/1/15
110032,600031,三一转债,2.36,7.43,5.2,9.66,2022/1/4
128016,2271,雨虹转债,6.23,38.48,26.94,50.02,2023/9/25
113011,601818,光大转债,0.81,4.26,99999,5.54,2023/3/17
128010,2245,顺昌转债,4.46,9.32,6.52,12.12,2022/1/22
113013,601211,国君转债,1.45,20.2,99999,26.26,2023/7/6
128015,2279,久其转债,4.16,12.9,9.03,16.77,2023/6/8
127004,700,模塑转债,1.7,8,5.6,10.4,2023/6/2
113012,601311,骆驼转债,2.37,16.72,11.7,21.74,2023/3/24
113008,601727,电气转债,2.05,10.46,7.32,13.6,2021/2/2
110030,600185,格力转债,1.94,7.24,5.07,9.41,2019/12/25
128012,2496,辉丰转债,2.02,7.74,5.42,10.06,2022/4/21
123001,300058,蓝标转债,2.34,9.77,6.84,12.7,2021/12/18
127003,861,海印转债,2.69,5.25,3.67,6.83,2022/6/8
113010,601199,江南转债,2.5,9.3,7.44,12.09,2022/3/18
128013,2325,洪涛转债,2.36,10.03,7.02,13.04,2022/7/29
110031,600271,航信转债,3.78,42.8,29.96,55.64,2021/6/12
