code,name,低价预警,高价预警,是否弹窗,备注
128040,华通转债,108,130,1,
128054,中宠转债,0.1,1000,1,
128012,辉丰转债,0.1,1000,1,
128056,今飞转债,103,138,1,高波动性转债，138卖出118买回80张
128050,钧达转债,0.1,1000,1,
128028,赣锋转债,0.1,1000,1,
127003,海印转债,0.1,1000,1,
128062,亚药转债,0.1,1000,1,
128018,时达转债,0.1,1000,1,
128015,久其转债,0.1,1000,1,
128013,洪涛转债,0.1,1000,1,
113558,日月转债,0.1,1000,1,
128085,鸿达转债,0.1,1000,1,
128087,孚日转债,0.1,1000,1,
110060,天路转债,0.1,1000,1,
128095,恩捷转债,0.1,1000,1,
128084,木森转债,0.1,1000,1,
113549,白电转债,0.1,1000,1,
110064,建工转债,0.1,1000,1,
128082,华锋转债,0.1,1000,1,
123033,金力转债,0.1,1000,1,
128081,海亮转债,0.1,1000,1,
110066,盛屯转债,0.1,1000,1,
123026,中环转债,0.1,1000,1,
123041,东财转2,0.1,1000,1,
123034,通光转债,0.1,1000,1,
128088,深南转债,0.1,1000,1,
128086,国轩转债,0.1,1000,1,
113546,迪贝转债,0.1,1000,1,
113561,正裕转债,0.1,1000,1,
603799,华友钴业,0.1,1000,1,
123024,岱勒转债,100,125,1,高波动性
123017,寒锐转债,110,150,1,
